Instance ATime AGood AGoodD AGoodBR AGoodBC ABorderC ABorderR ABlocksTry ABlocks AAveNZs AMaxNZs AMinNZs AisDBDF KMaxTime KTimeRemove KNRemove KNRemoveInner KTimeMerge KNMerge KNMergeInner KTimeComm KNComm KTimeOverall KGood KGoodD KGoodB Kborder KNBlocks KNBlocksNonT KAveNZs KMaxNZs KMinNZs KTimeToBest KIterOuterBest KNMergeInnerBest KNRemoveInnerBest RootBound RootGap TimeRootNode
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bienst2_decomp_auto1_log.txt:FS: 0.023 0.176 0.474 0.530 0.700 0.018 0.127 2 7 218.143 981 4 1 0 0.040 3 39 0.012 3 50 0.031 32 0.056 0.259 0.828 0.313 0.233 31 31 32.935 377 14 0.022 0 3 16 37.089 57.999 4.998
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bier127MTZ_decomp_auto1_log.txt:FS: 0.364 0.489 0.739 0.957 0.691 0.018 0.009 4 4 17159.250 23189 14412 1 0 7.890 5 391 190.712 5 6984 6.731 129 198.708 0.122 0.627 0.195 0.327 3626 3626 11.488 22455 2 98.732 2 3121 226 112276.000 30.860 3198.529
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bills_snowflake_decomp_auto1_log.txt:FS: 0.048 0.311 0.927 0.359 0.932 0.004 0.205 13 20 100.650 310 10 1 0 0.165 5 66 0.040 5 78 0.134 64 0.214 0.328 0.912 0.359 0.205 16 16 137.313 364 19 0.018 0 12 2 18.546 201.951 7.978
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/binkar10_1_decomp_auto1_log.txt:FS: 0.020 0.708 0.863 0.820 1.000 0.000 0.040 2 10 293.600 563 18 0 0 0.022 1 19 0.005 1 16 0.018 10 0.030 0.708 0.863 0.820 0.040 10 10 293.600 563 18 0.002 0 0 0 6696.219 0.881 5.053
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/blend2_decomp_auto1_log.txt:FS: 0.006 0.678 0.986 0.687 1.000 0.000 0.075 6 74 4.973 8 2 0 0 0.002 2 2 0.001 1 3 0.001 3 0.006 0.678 0.986 0.687 0.075 74 74 4.973 8 2 0.003 0 0 0 7.044 9.548 0.458
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/blp_ar98_decomp_auto1_log.txt:FS: 0.060 0.000 0.000 0.000 0.000 0.000 0.000 -1 0 0.000 0 0 -1 0 10.484 5 438 0.340 5 82 8.700 284 10.836 0.481 0.899 0.535 0.125 375 375 109.891 7212 3 3.850 0 6 149 6160.194 3.049 37.814
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/blp_ic97_decomp_auto1_log.txt:FS: 0.025 0.000 0.000 0.000 0.000 0.000 0.000 -1 0 0.000 0 0 -1 0 2.743 3 163 0.126 2 59 2.373 153 2.879 0.443 0.860 0.516 0.132 451 451 32.151 4604 2 2.650 1 32 159 3943.697 5.806 49.153
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/blp_ir98_decomp_auto1_log.txt:FS: 0.016 0.000 0.000 0.000 0.000 0.000 0.000 -1 0 0.000 0 0 -1 0 2.363 4 206 0.075 4 50 2.032 201 2.443 0.374 0.811 0.461 0.155 292 292 29.493 2727 2 2.412 2 43 203 2323.768 1.401 11.107
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bmik_250_10_100_3_decomp_auto1_log.txt:FS: 0.012 0.188 0.488 1.000 0.386 0.048 0.000 2 2 1060.500 1225 896 1 0 0.034 3 40 0.011 3 55 0.026 39 0.052 0.034 0.083 0.412 0.177 37 37 45.649 1617 2 0.014 0 9 9 -70122.348 0.263 9.312
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bmik_500_10_100_5_decomp_auto1_log.txt:FS: 0.011 0.188 0.500 0.975 0.386 0.048 0.005 2 2 1253.500 1261 1246 1 0 0.030 1 37 0.000 0 0 0.023 33 0.036 0.000 0.000 0.975 0.005 1 1 2499.000 2499 2499 0.008 0 0 0 -68073.714 0.240 19.433
